parameter_name,30kHz-evoked ABR Threshold
pvalue,0.159348
gene_symbol,Atf3
parameter_id,IMPC_ABR_012_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:109384
analysis_id,7eq80ot95dmo1au
