analysis_id,40z75an6d71xv24
mouse_strain,C57BL
gene_symbol,Wars2
pvalue,0.6413229
parameter_id,MGP_MLN_014_001
parameter_name,Resting CD8+ T cells - % of CD8+
gene_accession_id,MGI:1917810
mouse_life_stage,E12.5
