analysis_id,6f829177409qe20
mouse_strain,129SV
gene_accession_id,MGI:99605
parameter_name,MZB (CD21/35 high)
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_071_001
pvalue,0.6668944
gene_symbol,Cntfr
