gene_symbol,Galk2
mouse_life_stage,Early adult
parameter_name,Calcium
gene_accession_id,MGI:1917226
parameter_id,HMGULA_CBC_009_001
mouse_strain,C57BL
pvalue,0.7935647
analysis_id,o7hvxw44x92807f
