analysis_id,vo21lyegek2x12c
parameter_name,PQ
parameter_id,IMPC_ECG_005_001
mouse_strain,C57BL
pvalue,0.214338
gene_symbol,Hspa5
mouse_life_stage,Early adult
gene_accession_id,MGI:95835
