parameter_id,HRWLLA_CBC_014_001
gene_symbol,Bmi1
mouse_life_stage,E12.5
gene_accession_id,MGI:88174
parameter_name,Alkaline phosphatase
mouse_strain,C57BL
pvalue,0.1386242
analysis_id,10359nxh24vtt39
