parameter_id,IMPC_EYE_004_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1931322
gene_symbol,Car13
analysis_id,0877q8zvj6523f0
parameter_name,Eyelid morphology
pvalue,0.1012816
