analysis_id,0x2c10t387a46z1
gene_accession_id,MGI:3026886
pvalue,0.9742274
parameter_id,MGP_MLN_009_001
gene_symbol,Cdin1
parameter_name,Effector Treg cells - % of Treg
mouse_life_stage,E9.5
mouse_strain,C57BL
