gene_symbol,Dhdds
analysis_id,q584ijxkk77m5hq
parameter_id,M-G-P_014_001_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Eye
gene_accession_id,MGI:1914672
pvalue,0.3550873
