analysis_id,z1600h0vsp49792
parameter_id,IMPC_HEM_030_001
parameter_name,Neutrophil cell count
mouse_life_stage,E15.5
gene_symbol,Fgb
gene_accession_id,MGI:99501
mouse_strain,C57BL
pvalue,0.980618
