gene_symbol,Mov10
analysis_id,45x631882x8i110
parameter_name,Limb morphology
mouse_strain,C57BL
pvalue,0.5233843
mouse_life_stage,Early adult
gene_accession_id,MGI:97054
parameter_id,IMPC_GEP_084_001
