analysis_id,n796cq46b6pc12s
parameter_name,Startle response
parameter_id,HMGULA_SHI_009_001
gene_accession_id,MGI:1913506
mouse_life_stage,Early adult
pvalue,0.1176794
gene_symbol,Ssr2
mouse_strain,C57BL
