gene_symbol,Car13
parameter_id,IMPC_ECH_008_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.07973937
analysis_id,y6jqq5f7cp13k1r
gene_accession_id,MGI:1931322
parameter_name,LVIDd
