gene_symbol,Lamb3
analysis_id,nn306dbyf21h2b4
mouse_strain,C57BL
pvalue,0.3647901
gene_accession_id,MGI:99915
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_022_001
parameter_name,Percentage center time
