parameter_name,Spleen weight
pvalue,0.8230751
mouse_life_stage,Early adult
parameter_id,UCD_OWT_003_001
analysis_id,olj25j2cjm1z375
gene_accession_id,MGI:1332236
mouse_strain,C57BL
gene_symbol,Cds2
