gene_symbol,Morn5
parameter_id,MGP_IMM_101_001
analysis_id,h0054k2k6r8748h
gene_accession_id,MGI:1922745
mouse_strain,C57BL
pvalue,0.6490293
mouse_life_stage,Early adult
parameter_name,KLRG1+ NK cells - % of CD45+
