analysis_id,r88ntj07fi66j78
parameter_id,MGP_IMM_129_001
gene_accession_id,MGI:1913576
parameter_name,CD11b-high cDC - % of CD45+
pvalue,0.6125351
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Dnajc5b
