parameter_name,Distance travelled - total
gene_accession_id,MGI:1276578
gene_symbol,Gfi1b
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,rgd761qj9t82p6c
parameter_id,JAXLA_OFD_020_001
pvalue,0.9376604
