analysis_id,zp954oc153t4h00
parameter_name,Hindpaw - size
parameter_id,JAXLA_CSD_041_002
gene_accession_id,MGI:109128
mouse_life_stage,Late adult
mouse_strain,C57BL
pvalue,0.5824119
gene_symbol,Hnf4a
