analysis_id,71ntfl3022f8pmt
pvalue,0.1115951
gene_accession_id,MGI:1332236
parameter_name,Glucose response AUC
parameter_id,ESLIM_004_001_701
mouse_strain,129SV
gene_symbol,Cds2
mouse_life_stage,Early adult
