mouse_strain,B6J
analysis_id,uz8db72d0676641
parameter_id,ESLIM_005_001_702
gene_accession_id,MGI:1346344
parameter_name,Lean/Body weight
pvalue,0.06248876
gene_symbol,Nr0b2
mouse_life_stage,Early adult
