gene_symbol,Cmpk1
parameter_name,IgD+ mature B cell percentage
pvalue,0.6696393
parameter_id,MGP_PBI_015_001
mouse_strain,C57BL
gene_accession_id,MGI:1913838
mouse_life_stage,Early adult
analysis_id,8sr6094g67nz4s7
