parameter_name,Distance travelled - total
parameter_id,JAX_OFD_020_001
mouse_life_stage,E18.5
pvalue,0.8772082
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
mouse_strain,C57BL
analysis_id,nzdy1v22lxjfo5x
