parameter_id,JAX_URI_002_001
pvalue,0.3825783
analysis_id,367y37r047j1vzq
gene_accession_id,MGI:88380
mouse_strain,C57BL
Gene_symbol,F2
mouse_life_stage,Early adult
parameter_name,Creatinine
