analysis_id,2ptayb826a7y2i5
gene_accession_id,MGI:109356
mouse_strain,C57BL
parameter_id,MGP_MLN_009_001
mouse_life_stage,Early adult
pvalue,0.3583496
parameter_name,Effector Treg cells - % of Treg
gene_symbol,Snap23
