gene_symbol,Dcaf12
pvalue,0.6121198
parameter_name,% Freezing duration pre-cue-2
mouse_life_stage,Early adult
analysis_id,1kpgy058a751353
mouse_strain,C57BL
gene_accession_id,MGI:1916220
parameter_id,ICS_FEA_019_001
