analysis_id,97i0uig66eg9gxr
mouse_strain,C57BL
pvalue,0.8838342
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
parameter_id,IMPC_IMM_073_001
parameter_name,cDCs CD11b Type
mouse_life_stage,Middle aged adult
