gene_symbol,Stradb
gene_accession_id,MGI:2144047
analysis_id,x01ij59c8fz8fgo
mouse_strain,C58BL
pvalue,0.856172
parameter_id,IMPC_CBC_006_001
parameter_name,Total protein
mouse_life_stage,Early adult
