analysis_id,g3r86qrzkqgx052
parameter_name,Periphery permanence time
gene_symbol,Steap3
gene_accession_id,MGI:1915678
mouse_life_stage,Early adult
parameter_id,JAX_OFD_012_001
mouse_strain,C57BL
pvalue,0.2683041
