gene_symbol,Frmpd1
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:2446274
parameter_name,B Cells
analysis_id,1u0fts90z987vt1
pvalue,0.9535149
parameter_id,IMPC_IMM_063_001
