analysis_id,690wtwkc8ib13yl
gene_accession_id,MGI:3046938
gene_symbol,Hrnr
parameter_id,IMPC_EYE_027_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Persistence of hyaloid vascular system
pvalue,0.9492404
