parameter_name,Snout morphology
parameter_id,MGP_CSD_066_001
gene_accession_id,MGI:1338032
gene_symbol,Sema6c
pvalue,0.8741484
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,97dk85k9154o7r3
