gene_symbol,Sass6
analysis_id,xz51k2dijoq5oo5
parameter_id,IMPC_HEM_029_001
pvalue,0.3094577
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_accession_id,MGI:1920026
parameter_name,Neutrophil differential count
