analysis_id,i133t8cesh920q9
mouse_life_stage,Early adult
pvalue,0.8396775
gene_accession_id,MGI:1913483
parameter_id,JAXLA_CBC_015_001
gene_symbol,Dmap1
parameter_name,Total cholesterol
mouse_strain,C57BL
