analysis_id,c8gucu2o2lg034g
parameter_id,M-G-P_020_001_001
parameter_name,Body Weight
pvalue,0.7636293
gene_accession_id,MGI:1913838
mouse_strain,C57BL
gene_symbol,Cmpk1
mouse_life_stage,Early adult
