parameter_name,Facial Morphology
mouse_strain,C57BL
gene_symbol,Arpc5l
pvalue,0.6260111
analysis_id,n18x054k860o4n4
parameter_id,IMPC_GEP_017_001
gene_accession_id,MGI:1921442
mouse_life_stage,Early adult
