parameter_name,Total holepokes
pvalue,0.06990263
mouse_strain,C57BL
analysis_id,38mj5zu8w021hvp
gene_symbol,Wars2
parameter_id,JAXLA_HBD_001_001
mouse_life_stage,E9.5
gene_accession_id,MGI:1917810
