analysis_id,d364u3sy18584nw
gene_symbol,Ppm1j
parameter_id,MGP_IMM_101_001
mouse_strain,C57BL
parameter_name,KLRG1+ NK cells - % of CD45+
gene_accession_id,MGI:1919137
mouse_life_stage,Early adult
pvalue,0.9563965
