gene_symbol,Plcb1
pvalue,0.7513247
mouse_life_stage,Late adult
mouse_strain,C57BL
analysis_id,95d0z30xj82644b
gene_accession_id,MGI:97613
parameter_name,Bone Mineral Density (excluding skull)
parameter_id,M-G-P_005_001_004
