analysis_id,9738mz1i4jy387m
gene_accession_id,MGI:3026886
parameter_name,% Freezing duration habituation-1
mouse_life_stage,E9.5
pvalue,0.1616697
mouse_strain,C57BL
parameter_id,ICS_FEA_016_001
gene_symbol,Cdin1
