analysis_id,69p4h5zq3omr8b0
parameter_id,MGP_PBI_040_001
mouse_life_stage,Early adult
pvalue,0.65994
gene_symbol,Sfpq
mouse_strain,C57BL
parameter_name,Eosinophil number
gene_accession_id,MGI:1918764
