gene_symbol,Trpa1
gene_accession_id,MGI:3522699
mouse_strain,C57BL
analysis_id,z40toy9555x7282
pvalue,0.161334
mouse_life_stage,Early adult
parameter_id,M-G-P_007_001_010
parameter_name,center - distance
