parameter_name,CD8 CD44-CD62L+ T cells
gene_symbol,Tubb4b
parameter_id,IMPC_IMM_034_001
pvalue,0.7530734
analysis_id,8bhoy9j2gfgl76f
mouse_strain,C57BL
gene_accession_id,MGI:1915472
mouse_life_stage,Early adult
