parameter_name,Total holepokes
pvalue,0.4670047
mouse_strain,C57BL
analysis_id,95fd1d63luy2088
gene_symbol,Abo
gene_accession_id,MGI:2135738
mouse_life_stage,Early adult
parameter_id,JAXLA_HBD_001_001
