analysis_id,nv796y96c901p81
mouse_life_stage,Early adult
gene_accession_id,MGI:1931322
mouse_strain,C57BL
gene_symbol,Car13
pvalue,0.3390756
parameter_id,HMGULA_CBC_017_001
parameter_name,Triglycerides
