analysis_id,a4d8u74f0i2p1yx
gene_symbol,Bpifa3
pvalue,0.7867533
parameter_id,ESLIM_011_001_703
mouse_life_stage,Early adult
gene_accession_id,MGI:1920638
parameter_name,Prepulse inhibition - PP3
mouse_strain,C57BL
