gene_symbol,Slx4ip
parameter_id,ESLIM_011_001_705
gene_accession_id,MGI:1921493
mouse_life_stage,Early adult
analysis_id,f3xls0kr02yvfw4
mouse_strain,C57BL
parameter_name,Global prepulse inhibition
pvalue,0.253685
