gene_symbol,Ints7
gene_accession_id,MGI:1924315
pvalue,0.5436155
parameter_id,IMPC_EYE_024_001
analysis_id,hx549s4853d6163
parameter_name,Retinal Blood Vessels
mouse_life_stage,Early adult
mouse_strain,C57BL
