parameter_name,Periphery resting time
gene_accession_id,MGI:107414
gene_symbol,Tnfsf10
mouse_strain,C57BL
pvalue,0.9778153
mouse_life_stage,Early adult
parameter_id,ESLIM_007_001_007
analysis_id,x080748xl4w12i8
