parameter_name,Monocytes
mouse_life_stage,Early adult
mouse_strain,C51BL
analysis_id,o416573360d195c
pvalue,0.06162574
gene_symbol,Zmynd19
parameter_id,IMPC_IMM_051_001
gene_accession_id,MGI:1914437
