gene_symbol,Il1r1
analysis_id,637e1b8i427v8k2
gene_accession_id,MGI:96545
parameter_id,MGP_IMM_078_001
parameter_name,Resting Treg cells - % of CD45+
mouse_life_stage,Early adult
pvalue,0.3013661
mouse_strain,C57BL
