analysis_id,q24cl990s51c3t2
mouse_strain,C57BL
parameter_id,ESLIM_016_001_002
gene_symbol,Gpbp1l1
parameter_name,Red blood cell count
gene_accession_id,MGI:1924360
pvalue,0.7932121
mouse_life_stage,Early adult
