parameter_name,Monocyte percentage
gene_accession_id,MGI:1916043
parameter_id,MGP_PBI_016_001
pvalue,0.5139354
analysis_id,0g80mhtfm4uio65
gene_symbol,Rab3gap2
mouse_strain,C57BL
mouse_life_stage,Early adult
