analysis_id,804v95719gh7mi4
mouse_strain,C57BL
gene_symbol,Ntmt2
parameter_id,ICS_FEA_019_001
pvalue,0.2733447
gene_accession_id,MGI:2685053
parameter_name,% Freezing duration pre-cue-2
mouse_life_stage,Early adult
