analysis_id,52cxdjqyil79fcj
pvalue,0.4894224
mouse_life_stage,Early adult
parameter_id,JAXLA_GRS_011_001
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_accession_id,MGI:2685266
mouse_strain,C57BL
gene_symbol,Pglyrp3
