gene_symbol,Trim46
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2673000
parameter_name,Neutrophil cell count
pvalue,0.3786398
parameter_id,IMPC_HEM_030_001
analysis_id,nz3mf90v79ee189
