parameter_name,Periphery - Permanence Time
gene_accession_id,MGI:3026886
analysis_id,1g3utaq56866ncb
gene_symbol,Cdin1
pvalue,0.4811522
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,M-G-P_007_001_008
