gene_symbol,Zc2hc1a
pvalue,0.7175508
analysis_id,a1ik7t097ise96t
parameter_id,IMPC_IMM_006_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914556
mouse_strain,C57BL
parameter_name,Others
