analysis_id,04q0i5vmhq0637z
mouse_life_stage,Early adult
gene_accession_id,MGI:1921802
pvalue,0.6204303
mouse_strain,129SV
parameter_id,IMPC_EYE_007_001
parameter_name,Cornea
gene_symbol,Nipal3
