analysis_id,r301r9w929e39k9
parameter_id,IMPC_ECG_004_001
gene_accession_id,MGI:1921442
mouse_life_stage,Early adult
parameter_name,RR
gene_symbol,Arpc5l
mouse_strain,C57BL
pvalue,0.4685715
