parameter_name,Average duration
gene_symbol,Bmi1
analysis_id,124a4h318tp7rqq
parameter_id,JAX_ROT_002_001
pvalue,0.6580228
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_accession_id,MGI:88174
