gene_symbol,Pum1
parameter_name,Number of rears - total
analysis_id,w2gk34gprebj9g7
mouse_strain,C57BL
parameter_id,IMPC_OFD_021_001
pvalue,0.4750566
mouse_life_stage,Early adult
gene_accession_id,MGI:1931749
