parameter_id,JAXLA_CSD_077_001
gene_symbol,Ddx27
mouse_life_stage,Early adult
gene_accession_id,MGI:2385884
pvalue,0.1443082
mouse_strain,C57BL
analysis_id,g91owxk38927578
parameter_name,Contact righting
