parameter_id,JAXLA_DXA_003_001
gene_accession_id,MGI:1920344
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,398564056v7on96
parameter_name,Lean mass
pvalue,0.307726
gene_symbol,Sgip1
